Bank Name,Number of Website Pages,Total Words(Master Text),Average Sentence Length(Master Text),Bog Index(Master Text),Number of StyleWriter Chunks(Master Text),Total Words(Refined Text),Average Sentence Length(Refined Text),Bog Index(Refined Text),Number of StyleWriter Chunks(Refined Text)
fbc mortgage llc,349,39734,11.3,81,1,30031,16.1,68,1
idaho housing and finance association,166,62406,10.9,68,1,51797,15.2,68,1
wei mortgage llc,44,17929,12.1,65,1,16244,16.7,68,1
cmc funding inc,20,704,6.2,66,1,513,9.2,69,1
colorado housing and finance authority,609,142196,11.1,71,1,120116,15.7,69,1
dhi mortgage company ltd,533,27024,7.8,90,1,18543,16.5,69,1
kondaur capital corporation,10,1748,13.3,64,1,1615,20.4,69,1
newrez llc,61,29183,12.7,72,1,25797,16.2,70,1
ocwen loan servicing llc,61,13852,12.2,70,1,12122,18.1,70,1
parkside lending llc,32,13361,13.1,65,1,12113,17.7,70,1
hightech lending inc,13,5604,8.9,72,1,4511,12.3,71,1
wyoming community development authority,66,22477,8.8,65,1,18337,12.7,71,1
jg wentworth home lending llc,544,225108,15.4,74,1,207496,19.9,72,1
axia financial llc,8642,93294,10.1,90,1,62804,14.1,74,1
impact mortgage,32,8202,8.3,80,1,5780,13.1,74,1
virginia housing development authority,1920,337160,13.4,71,1,306340,17.3,74,1
new hampshire housing finance authority,90,18180,9.6,76,1,13849,14.9,77,1
paramount residential mortgage,13,3461,12.7,72,1,2824,17.5,77,1
midwest loan solutions inc,8,1674,4.6,111,1,699,8.8,78,1
mortgage clearing corporation,1,105,4.2,64,1,59,7.4,78,1
american financial resources,38,11783,15,73,1,10633,20.6,79,1
kentucky housing corporation,313,109931,12.4,78,1,95061,17.2,79,1
new mexico mortgage finance authority,247,85146,10.1,73,1,69846,16.2,79,1
north dakota housing finance agency,13,588,5.5,73,1,447,9.9,82,1
pennsylvania housing finance agency,106,41808,10.2,81,1,34175,16.1,82,1
wisconsin housing and economic development authority,151,52342,10,80,1,43804,13.7,82,1
fay servicing llc,48,12713,13.9,79,1,11534,18,85,1
on q financial,818,218019,12.9,97,1,191421,16.9,91,1
lenderlive network llc,24,5801,6.8,91,1,4233,13.7,95,1
continental home loans inc,17,3057,8.4,110,1,2411,15.3,106,1
rushmore loan management services llc,166,43478,15.6,176,1,37657,18.2,168,1
