Date & Time	Document	Draft	Total Words	Average Sentence	Passive Index	Style Index	Bog Index	Reading Grade	Jargon	Glue	Pep	Task	Audience	Author
01 Nov 2019 15:07	essex_mortgage_refined.docx	Original	45212	17.1	11	38	41	10.5	0.6	42	12	General Writing	Public	john
01 Nov 2019 15:16	evergreen_moneysource_mortgage_all.docx	Original	62391	9.7	6	35	41	8.8	0.5	34	18	General Writing	Public	john
01 Nov 2019 15:26	evergreen_moneysource_mortgage_refined.docx	Original	52791	15.3	11	40	39	10.1	0.4	39	15	General Writing	Public	john
01 Nov 2019 15:35	fairway_independent_mortgage_all.docx	Original	41771	12.9	13	49	52	11.4	1.0	36	15	General Writing	Public	john
01 Nov 2019 15:42	fairway_independent_mortgage_refined.docx	Original	38042	16.9	18	51	53	12.6	0.8	38	13	General Writing	Public	john
01 Nov 2019 15:48	fay_servicing_llc_all.docx	Original	12713	13.9	10	54	79	13.9	5.9	34	15	General Writing	Public	john
01 Nov 2019 15:51	fay_servicing_llc_refined.docx	Original	11534	18.0	13	58	85	15.3	5.8	36	12	General Writing	Public	john
01 Nov 2019 15:54	fbc_mortgage_llc_all.docx	Original	39734	11.3	8	37	81	13.1	2.0	27	15	General Writing	Public	john
01 Nov 2019 16:00	fbc_mortgage_llc_refined.docx	Original	30031	16.1	14	47	68	13.5	1.5	34	14	General Writing	Public	john
01 Nov 2019 16:07	finance_of_america_mortgage_llc_all.docx	Original	67972	10.0	6	36	43	9.2	1.8	36	17	General Writing	Public	john
01 Nov 2019 16:18	finance_of_america_mortgage_llc_refined.docx	Original	59177	14.0	9	40	42	10.0	1.2	39	15	General Writing	Public	john
01 Nov 2019 16:27	firstkey_mortgage_llc_all.docx	Original	47	3.4	0	21	121	17.6	0.0	9	12	General Writing	Public	john
01 Nov 2019 16:27	firstkey_mortgage_llc_refined.docx	Original	16	5.3	0	0	40	6.9	0.0	6	8	General Writing	Public	john
01 Nov 2019 16:44	first_choice_loan_services_inc_a_berkshire_bank_company_all.docx	Original	350618	13.5	10	43	43	9.5	0.8	38	15	General Writing	Public	john
01 Nov 2019 17:40	first_choice_loan_services_inc_a_berkshire_bank_company_refined.docx	Original	322917	15.4	12	43	42	9.9	0.6	40	14	General Writing	Public	john
01 Nov 2019 18:21	first_community_mortgage_inc_all.docx	Original	21185	12.9	11	39	52	11.0	1.4	38	16	General Writing	Public	john
01 Nov 2019 18:25	first_community_mortgage_inc_refined.docx	Original	19320	16.3	16	40	56	12.1	1.1	40	13	General Writing	Public	john
01 Nov 2019 18:28	first_continental_mortgage_ltd_all.docx	Original	7535	11.3	11	59	54	11.6	1.6	36	19	General Writing	Public	john
01 Nov 2019 18:30	first_continental_mortgage_ltd_refined.docx	Original	6607	16.5	17	64	55	12.9	1.2	39	16	General Writing	Public	john
01 Nov 2019 18:32	first_guaranty_mortgage_corp_all.docx	Original	8178	10.1	7	45	48	10.2	2.3	34	19	General Writing	Public	john
01 Nov 2019 18:33	first_guaranty_mortgage_corp_refined.docx	Original	7107	15.1	12	45	48	11.5	1.9	38	17	General Writing	Public	john
01 Nov 2019 18:36	first_home_mortgage_corporation_all.docx	Original	53744	12.6	11	49	42	9.1	0.7	40	16	General Writing	Public	john
01 Nov 2019 18:45	first_home_mortgage_corporation_refined.docx	Original	50117	15.8	15	49	42	9.9	0.5	42	14	General Writing	Public	john
